"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151224_165552.mp4","3.29","213.47","40.31","-173.17","-81.12","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151224_165834.mp4","4.12","280.93","53.42","-227.51","-80.99","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Janeiro 2016\Camera\20151224_170157.mp4","3.08","227.22","42.95","-184.26","-81.10","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Julho 2016\Camera\20160617_173048.mp4","3.52","225.67","44.19","-181.47","-80.42","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Julho 2016\Camera\20160718_204534.mp4","2.91","213.84","41.03","-172.81","-80.81","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Julho 2016\com.gopro.smarty\GoPro\GOPR1095_1464679494785_high.mp4","14.93","474.48","36.73","-437.75","-92.26","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Julho 2016\com.gopro.smarty\GoPro\GOPR1106_1467196855621_high.mp4","6.79","229.38","17.81","-211.57","-92.24","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Julho 2016\com.gopro.smarty\GoPro\GOPR1107_1467196855621_high.mp4","9.88","338.34","26.58","-311.77","-92.14","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1471.mp4","21.38","753.96","60.15","-693.81","-92.02","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1472.mp4","7.52","252.20","19.94","-232.26","-92.09","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1540.mp4","6.23","218.34","16.89","-201.45","-92.27","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1546.mp4","7.13","254.78","19.81","-234.98","-92.23","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1553.mp4","9.10","318.82","24.51","-294.31","-92.31","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1562.mp4","13.75","418.10","31.27","-386.83","-92.52","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1564.mp4","8.01","263.06","21.08","-241.98","-91.99","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1571.mp4","7.53","251.25","19.42","-231.83","-92.27","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1577.mp4","51.67","1480.12","115.64","-1364.48","-92.19","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1578.mp4","11.17","394.04","30.27","-363.77","-92.32","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1579.mp4","32.67","1244.28","96.72","-1147.56","-92.23","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1580.mp4","28.21","1096.13","84.27","-1011.87","-92.31","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1582.mp4","6.88","264.69","20.90","-243.79","-92.10","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1584.mp4","28.11","1071.74","80.45","-991.29","-92.49","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1589.mp4","14.46","549.40","42.50","-506.90","-92.26","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1590.mp4","10.00","362.55","27.77","-334.77","-92.34","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1591.mp4","18.46","615.03","46.98","-568.05","-92.36","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1592.mp4","8.41","283.52","21.96","-261.57","-92.26","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1596.mp4","14.38","445.67","34.66","-411.01","-92.22","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1608.mp4","21.94","671.69","53.31","-618.38","-92.06","h264"
"E:\Fotos\TELEMOVEL\Edge S6 Outubro 2016\DCIM\Camera\GOPR1610.mp4","20.18","626.50","49.96","-576.53","-92.02","h264"
